country,indicator,dimension,year,observed,expected,z_observed,z_expected,gap
Singapore,Inflation,MacroPricePressure,2022,6.130954189197321,0.10631840448876764,-0.9884615548474867,1.046840009698793,-2.0353015645462795
Singapore,Inflation,MacroPricePressure,2023,4.833723628257976,0.10631840448876764,-0.5502184004715046,1.046840009698793,-1.5970584101702978
Singapore,CO2IntElec,LowCarbonContinuity,2020,504.62,494.71200000000135,0.7605660207777981,0.8729855647337603,-0.11241954395596221
Singapore,CO2IntElec,LowCarbonContinuity,2021,506.18,490.99236363636464,0.7428657292385041,0.9151898263084585,-0.17232409706995433
Singapore,CO2IntElec,LowCarbonContinuity,2022,504.22,487.27272727272884,0.7651045570699245,0.9573940878831463,-0.19228953081322175
Singapore,CO2IntElec,LowCarbonContinuity,2023,500.87,483.55309090909213,0.8031147985164856,0.9995983494578444,-0.19648355094135883
Singapore,RenCap,LowCarbonContinuity,2020,86.88845752238865,76.27808819947478,-0.20114053334167406,-0.349339463874469,0.14819893053279495
Singapore,RenCap,LowCarbonContinuity,2021,120.5139902955241,86.6065989002878,0.268519649439371,-0.20507735637634297,0.47359700581571396
Singapore,RenCap,LowCarbonContinuity,2022,152.692503240186,98.33365190617062,0.7179687741023528,-0.04128129415822308,0.759250068260576
Singapore,RenCap,LowCarbonContinuity,2023,196.4684279970691,111.64861823446168,1.3294032147531463,0.1446937374244669,1.1847094773286795
Singapore,RenElec,LowCarbonContinuity,2020,2.81,2.9279999999999937,-1.1663799142348237,-1.1569346782828827,-0.009445235951941022
Singapore,RenElec,LowCarbonContinuity,2021,2.91,2.941636363636359,-1.1583754769874157,-1.1558431641127813,-0.0025323128746344015
Singapore,RenElec,LowCarbonContinuity,2022,4.1,2.955272727272721,-1.0631226737432586,-1.1547516499426804,0.09162897619942179
Singapore,RenElec,LowCarbonContinuity,2023,4.54,2.9689090909090865,-1.027903149854663,-1.153660135772579,0.12575698591791618
Thailand,TDLoss,EnergyServiceSecurity,2020,7.307003413276858,7.014183641167696,-0.08986156487737688,0.01782608008552698,-0.10768764496290387
Thailand,TDLoss,EnergyServiceSecurity,2021,7.922316566733913,7.104621924476761,-0.3161496462224645,-0.015433578829890798,-0.3007160673925737
Thailand,TDLoss,EnergyServiceSecurity,2022,7.473237729751565,7.1962262854801535,-0.15099603651580742,-0.04912207545610062,-0.10187396105970681
Thailand,TDLoss,EnergyServiceSecurity,2023,7.161360066901912,7.289011759151334,-0.036299645671362644,-0.08324493906755114,0.04694529339618849
Thailand,AccessElec,EnergyServiceSecurity,2020,100.0,99.90979761077404,0.6356363604238807,0.6121219714741349,0.02351438894974578
Thailand,AccessElec,EnergyServiceSecurity,2021,100.0,99.92718060630743,0.6356363604238807,0.6166534536398678,0.018982906784012932
Thailand,AccessElec,EnergyServiceSecurity,2022,99.9,99.94121567782005,0.6095678835780636,0.6203121830074301,-0.0107442994293665
Thailand,AccessElec,EnergyServiceSecurity,2023,100.0,99.95254694091443,0.6356363604238807,0.6232660707035265,0.012370289720354255
Thailand,Inflation,MacroPricePressure,2020,-0.8459371473570412,0.3447965554872464,1.3685403221789134,0.9662749811755313,0.40226534100338207
Thailand,Inflation,MacroPricePressure,2021,1.230395413183836,0.3447965554872464,0.667093287038072,0.9662749811755313,-0.2991816941374593
Thailand,Inflation,MacroPricePressure,2022,6.08,0.3447965554872464,-0.9712477107746683,0.9662749811755313,-1.9375226919501998
Thailand,Inflation,MacroPricePressure,2023,1.23,0.3447965554872464,0.6672268693989752,0.9662749811755313,-0.2990481117765561
Thailand,CO2IntElec,LowCarbonContinuity,2020,570.49,567.710000000001,0.013182556871839581,0.04472538410210927,-0.03154282723026969
